scn	wind	slope	flam	aspc
115	0.3	0.1	0.3	0.3
116	0.3	0.3	0.1	0.3
117	0.3	0.3	0.3	0.1
118	0.3	0.3	0.2	0.2
119	0.3	0.2	0.3	0.2
120	0.3	0.2	0.2	0.3
121	0.2	0.8	0	0
122	0.2	0	0.8	0
123	0.2	0	0	0.8
124	0.2	0.7	0.1	0
125	0.2	0.7	0	0.1
126	0.2	0.1	0.7	0
127	0.2	0.1	0	0.7
128	0.2	0	0.7	0.1
129	0.2	0	0.1	0.7
130	0.2	0.6	0.2	0
131	0.2	0.6	0	0.2
132	0.2	0.2	0.6	0
133	0.2	0.2	0	0.6
134	0.2	0	0.6	0.2
135	0.2	0	0.2	0.6
136	0.2	0.5	0.3	0
137	0.2	0.5	0	0.3
138	0.2	0.3	0.5	0
139	0.2	0.3	0	0.5
140	0.2	0	0.5	0.3
141	0.2	0	0.3	0.5
142	0.2	0.4	0.4	0
143	0.2	0.4	0	0.4
144	0.2	0	0.4	0.4
145	0.2	0.6	0.1	0.1
146	0.2	0.1	0.6	0.1
147	0.2	0.1	0.1	0.6
148	0.2	0.5	0.2	0.1
149	0.2	0.5	0.1	0.2
150	0.2	0.2	0.5	0.1
151	0.2	0.2	0.1	0.5
152	0.2	0.1	0.5	0.2
153	0.2	0.1	0.2	0.5
154	0.2	0.4	0.3	0.1
155	0.2	0.4	0.1	0.3
156	0.2	0.3	0.4	0.1
157	0.2	0.3	0.1	0.4
158	0.2	0.1	0.4	0.3
159	0.2	0.1	0.3	0.4
160	0.2	0.4	0.2	0.2
161	0.2	0.2	0.4	0.2
162	0.2	0.2	0.2	0.4
163	0.2	0.2	0.3	0.3
164	0.2	0.3	0.2	0.3
165	0.2	0.3	0.3	0.2
166	0.1	0.9	0	0
167	0.1	0	0.9	0
168	0.1	0	0	0.9
169	0.1	0.8	0.1	0
170	0.1	0.8	0	0.1
171	0.1	0.1	0.8	0
172	0.1	0.1	0	0.8
173	0.1	0	0.8	0.1
174	0.1	0	0.1	0.8
175	0.1	0.7	0.2	0
176	0.1	0.7	0	0.2
177	0.1	0.2	0.7	0
178	0.1	0.2	0	0.7
179	0.1	0	0.7	0.2
180	0.1	0	0.2	0.7
181	0.1	0.6	0.3	0
182	0.1	0.6	0	0.3
183	0.1	0.3	0.6	0
184	0.1	0.3	0	0.6
185	0.1	0	0.6	0.3
186	0.1	0	0.3	0.6
187	0.1	0.5	0.4	0
188	0.1	0.5	0	0.4
189	0.1	0.4	0.5	0
190	0.1	0.4	0	0.5
191	0.1	0	0.5	0.4
192	0.1	0	0.4	0.5
193	0.1	0.7	0.1	0.1
194	0.1	0.1	0.7	0.1
195	0.1	0.1	0.1	0.7
196	0.1	0.6	0.2	0.1
197	0.1	0.6	0.1	0.2
198	0.1	0.2	0.6	0.1
199	0.1	0.2	0.1	0.6
200	0.1	0.1	0.6	0.2
201	0.1	0.1	0.2	0.6
202	0.1	0.5	0.3	0.1
203	0.1	0.5	0.1	0.3
204	0.1	0.3	0.5	0.1
205	0.1	0.3	0.1	0.5
206	0.1	0.1	0.5	0.3
207	0.1	0.1	0.3	0.5
208	0.1	0.5	0.2	0.2
209	0.1	0.2	0.5	0.2
210	0.1	0.2	0.2	0.5
211	0.1	0.1	0.4	0.4
212	0.1	0.4	0.1	0.4
213	0.1	0.4	0.4	0.1
214	0.1	0.4	0.3	0.2
215	0.1	0.4	0.2	0.3
216	0.1	0.3	0.4	0.2
217	0.1	0.3	0.2	0.4
218	0.1	0.2	0.4	0.3
219	0.1	0.2	0.3	0.4
220	0.1	0.3	0.3	0.3
221	0	1	0	0
222	0	0	1	0
223	0	0	0	1
224	0	0.9	0.1	0
225	0	0.9	0	0.1
226	0	0.1	0.9	0
227	0	0.1	0	0.9
228	0	0	0.9	0.1
229	0	0	0.1	0.9
230	0	0.8	0.2	0
231	0	0.8	0	0.2
232	0	0.2	0.8	0
233	0	0.2	0	0.8
234	0	0	0.8	0.2
235	0	0	0.2	0.8
236	0	0.7	0.3	0
237	0	0.7	0	0.3
238	0	0.3	0.7	0
239	0	0.3	0	0.7
240	0	0	0.7	0.3
241	0	0	0.3	0.7
242	0	0.6	0.4	0
243	0	0.6	0	0.4
244	0	0.4	0.6	0
245	0	0.4	0	0.6
246	0	0	0.6	0.4
247	0	0	0.4	0.6
248	0	0.5	0.5	0
249	0	0.5	0	0.5
250	0	0	0.5	0.5
251	0	0.8	0.1	0.1
252	0	0.1	0.8	0.1
253	0	0.1	0.1	0.8
254	0	0.7	0.2	0.1
255	0	0.7	0.1	0.2
256	0	0.2	0.7	0.1
257	0	0.2	0.1	0.7
258	0	0.1	0.7	0.2
259	0	0.1	0.2	0.7
260	0	0.6	0.3	0.1
261	0	0.6	0.1	0.3
262	0	0.3	0.6	0.1
263	0	0.3	0.1	0.6
264	0	0.1	0.6	0.3
265	0	0.1	0.3	0.6
266	0	0.6	0.2	0.2
267	0	0.2	0.6	0.2
268	0	0.2	0.2	0.6
269	0	0.5	0.4	0.1
270	0	0.5	0.1	0.4
271	0	0.4	0.5	0.1
272	0	0.4	0.1	0.5
273	0	0.1	0.5	0.4
274	0	0.1	0.4	0.5
275	0	0.5	0.2	0.3
276	0	0.5	0.3	0.2
277	0	0.2	0.5	0.3
278	0	0.2	0.3	0.5
279	0	0.3	0.5	0.2
280	0	0.3	0.2	0.5
281	0	0.2	0.4	0.4
282	0	0.4	0.2	0.4
283	0	0.4	0.4	0.2
284	0	0.4	0.3	0.3
285	0	0.4	0.3	0.3
286	0	0.3	0.4	0.3
